AC_CHARGEARROW	0	0	0	0	0	0	0	0	0	0
AL_ANGELUS	350	350	350	350	350	350	350	350	350	350
AL_CRUCIS	350	350	350	350	350	350	350	350	350	350
AL_DECAGI	750	750	750	750	750	750	750	750	750	750
AL_HOLYLIGHT	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600
AL_HOLYWATER	800	800	800	800	800	800	800	800	800	800
AL_INCAGI	800	800	800	800	800	800	800	800	800	800
AL_WARP	0	0	0	0	0	0	0	0	0	0
ALL_RESURRECTION	4800	3200	1600	0	0	0	0	0	0	0
ALL_TIMEIN	0	0	0	0	0	0	0	0	0	0
AM_ACIDTERROR	500	500	500	500	500	500	500	500	500	500
AM_BERSERKPITCHER	0	0	0	0	0	0	0	0	0	0
AM_CANNIBALIZE	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600
AM_CP_ARMOR	0	0	0	0	0	0	0	0	0	0
AM_CP_HELM	0	0	0	0	0	0	0	0	0	0
AM_CP_SHIELD	0	0	0	0	0	0	0	0	0	0
AM_CP_WEAPON	0	0	0	0	0	0	0	0	0	0
AM_DEMONSTRATION	800	800	800	800	800	800	800	800	800	800
AM_HEALHOMUN	800	800	800	800	800	800	800	800	800	800
AM_RESURRECTHOMUN	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
AM_SPHEREMINE	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600
AM_TWILIGHT1	0	0	0	0	0	0	0	0	0	0
AM_TWILIGHT2	0	0	0	0	0	0	0	0	0	0
AM_TWILIGHT3	0	0	0	0	0	0	0	0	0	0
AM_TWILIGHT4	0	0	0	0	0	0	0	0	0	0
AS_SPLASHER	500	500	500	500	500	500	500	500	500	500
ASC_BREAKER	250	250	250	250	250	250	250	250	250	250
ASC_METEORASSAULT	250	250	250	250	250	250	250	250	250	250
BA_MUSICALSTRIKE	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200
BA_PANGVOICE	800	800	800	800	800	800	800	800	800	800
BS_REPAIRWEAPON	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500
CG_ARROWVULCAN	1600	1760	1920	2080	2240	2400	2560	2720	2880	3040
CG_TAROTCARD	500	500	500	500	500	500	500	500	500	500
CH_SOULCOLLECT	0	0	0	0	0	0	0	0	0	0
CR_ACIDDEMONSTRATION	0	0	0	0	0	0	0	0	0	0
CR_DEVOTION	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
CR_FULLPROTECTION	0	0	0	0	0	0	0	0	0	0
CR_GRANDCROSS	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
CR_PROVIDENCE	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
CR_SLIMPITCHER	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
DC_THROWARROW	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200
DC_WINKCHARM	800	800	800	800	800	800	800	800	800	800
GD_EMERGENCYCALL	0	0	0	0	0	0	0	0	0	0
GD_RESTORE	0	0	0	0	0	0	0	0	0	0
GS_ADJUSTMENT	800	800	800	800	800	800	800	800	800	800
GS_BULLSEYE	800	800	800	800	800	800	800	800	800	800
GS_DISARM	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600
GS_DUST	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200
GS_FULLBUSTER	800	800	800	800	800	800	800	800	800	800
GS_GATLINGFEVER	800	800	800	800	800	800	800	800	800	800
GS_GROUNDDRIFT	800	800	800	800	800	800	800	800	800	800
GS_MADNESSCANCEL	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600
GS_PIERCINGSHOT	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200
GS_SPREADATTACK	800	800	800	800	800	800	800	800	800	800
GS_TRACKING	600	700	800	900	1000	1100	1200	1300	1400	1500
HP_ASSUMPTIO	800	1200	1600	2000	2400	2400	2400	2400	2400	2400
HP_BASILICA	0	0	0	0	0	0	0	0	0	0
HT_BLITZBEAT	800	800	800	800	800	800	800	800	800	800
HW_GANBANTEIN	0	0	0	0	0	0	0	0	0	0
HW_GRAVITATION	0	0	0	0	0	0	0	0	0	0
HW_MAGICCRASHER	240	240	240	240	240	240	240	240	240	240
HW_NAPALMVULCAN	800	800	800	800	800	800	800	800	800	800
KN_BOWLINGBASH	350	350	350	350	350	350	350	350	350	350
KN_BRANDISHSPEAR	350	350	350	350	350	350	350	350	350	350
